epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,189.292,1.06264,0.98207,1.19691,0.88,0.77068,0.77344,0.53955,1.36992,1.56279,1.3004,0.00493103,0.00493103,0.021931
43,193.973,1.16989,1.03026,1.30674,0.88,0.77068,0.77344,0.53955,1.36992,1.56279,1.3004,0.0049657,0.0049657,0.0199657
44,198.469,1.09111,0.95347,1.19422,0.80699,0.77068,0.75516,0.5759,1.13331,1.59455,1.24069,0.00499641,0.00499641,0.0179964
45,203.111,1.15964,0.91212,1.23811,0.80699,0.77068,0.75516,0.5759,1.13331,1.59455,1.24069,0.00502316,0.00502316,0.0160232
46,207.506,1.06832,0.91074,1.19298,0.86996,0.77068,0.84259,0.54566,1.43944,1.51288,1.34781,0.00504595,0.00504595,0.0140459
47,212.435,0.98831,0.87609,1.12727,0.86996,0.77068,0.84259,0.54566,1.43944,1.51288,1.34781,0.00506478,0.00506478,0.0120648
48,217.686,1.12651,0.90071,1.19312,0.83514,0.63004,0.79992,0.59607,1.12767,1.3975,1.26935,0.00507965,0.00507965,0.0100797
49,222.201,1.02443,0.92077,1.136,0.83514,0.63004,0.79992,0.59607,1.12767,1.3975,1.26935,0.00509056,0.00509056,0.00809056
50,226.986,0.95157,0.85622,1.13174,0.98848,0.74562,0.85404,0.56281,1.34279,1.36647,1.32616,0.00509751,0.00509751,0.00609751
51,231.499,1.07089,0.91107,1.19394,0.98848,0.74562,0.85404,0.56281,1.34279,1.36647,1.32616,0.00505,0.00505,0.00505
52,236.3,1.29649,0.98758,1.36086,0.87885,0.74509,0.85268,0.601,1.15448,1.26826,1.26129,0.004951,0.004951,0.004951
53,240.648,1.14933,0.93427,1.252,0.87885,0.74509,0.85268,0.601,1.15448,1.26826,1.26129,0.004852,0.004852,0.004852
54,245.538,0.97741,0.87409,1.13202,0.9834,0.79336,0.88594,0.62538,1.18806,1.33875,1.26838,0.004753,0.004753,0.004753
55,249.77,0.96994,0.90367,1.22546,0.9834,0.79336,0.88594,0.62538,1.18806,1.33875,1.26838,0.004654,0.004654,0.004654
56,253.641,0.90209,0.79177,1.13795,0.96094,0.79699,0.88902,0.61712,1.11934,1.2994,1.21982,0.004555,0.004555,0.004555
57,257.879,1.03572,0.91207,1.26786,0.96094,0.79699,0.88902,0.61712,1.11934,1.2994,1.21982,0.004456,0.004456,0.004456
58,262.283,0.92542,0.76443,1.12802,0.95697,0.79699,0.88978,0.60698,1.3081,1.28256,1.31812,0.004357,0.004357,0.004357
59,267.053,1.04362,1.04177,1.23448,0.95697,0.79699,0.88978,0.60698,1.3081,1.28256,1.31812,0.004258,0.004258,0.004258
60,271.34,0.88908,0.87046,1.14473,0.97661,0.77456,0.90013,0.62329,1.18424,1.32347,1.24042,0.004159,0.004159,0.004159
61,275.285,0.96857,0.81454,1.13411,0.97661,0.77456,0.90013,0.62329,1.18424,1.32347,1.24042,0.00406,0.00406,0.00406
62,280.638,1.16365,1.03274,1.24384,0.96379,0.77068,0.89514,0.62794,1.13566,1.25653,1.23222,0.003961,0.003961,0.003961
63,285.139,1.12228,0.9314,1.17321,0.96379,0.77068,0.89514,0.62794,1.13566,1.25653,1.23222,0.003862,0.003862,0.003862
